Data Source in SDW: null
,MNA.Q.Y.I8.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N
,"Individual consumption expenditure - Euro area 19 (fixed composition) - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2020Q3,1530295.04
2020Q2,1346623.72
2020Q1,1539179.52
2019Q4,1606257.81
2019Q3,1600847.77
2019Q2,1592176.54
2019Q1,1581353.59
2018Q4,1571128.14
2018Q3,1559945.44
2018Q2,1550577.41
2018Q1,1542640.75
2017Q4,1527076.54
2017Q3,1515704.51
2017Q2,1504755.78
2017Q1,1496323.62
2016Q4,1480825.96
2016Q3,1466854.86
2016Q2,1457594.52
2016Q1,1449471.95
2015Q4,1440761.76
2015Q3,1435625.10
2015Q2,1428818.90
2015Q1,1414955.42
2014Q4,1409871.53
2014Q3,1403080.69
2014Q2,1394815.86
2014Q1,1391811.53
2013Q4,1388395.51
2013Q3,1384157.12
2013Q2,1377825.19
2013Q1,1374582.68
2012Q4,1375063.68
2012Q3,1373064.96
2012Q2,1373210.50
2012Q1,1374641.85
2011Q4,1367186.07
2011Q3,1366809.98
2011Q2,1361576.07
2011Q1,1359015.95
2010Q4,1348477.11
2010Q3,1336185.47
2010Q2,1326576.89
2010Q1,1316300.03
2009Q4,1307094.89
2009Q3,1299022.94
2009Q2,1297832.68
2009Q1,1297156.10
2008Q4,1316213.30
2008Q3,1330368.59
2008Q2,1327191.19
2008Q1,1317972.16
2007Q4,1308651.51
2007Q3,1290693.46
2007Q2,1277121.12
2007Q1,1257828.40
2006Q4,1251507.55
2006Q3,1235538.27
2006Q2,1225936.81
2006Q1,1210472.50
2005Q4,1196269.95
2005Q3,1185812.20
2005Q2,1170701.57
2005Q1,1158394.95
2004Q4,1149698.49
2004Q3,1134667.74
2004Q2,1127801.23
2004Q1,1117436.05
2003Q4,1105259.06
2003Q3,1097299.76
2003Q2,1085938.02
2003Q1,1081637.51
2002Q4,1072744.68
2002Q3,1060300.94
2002Q2,1050292.13
2002Q1,1045385.68
2001Q4,1040196.98
2001Q3,1034624.42
2001Q2,1027774.44
2001Q1,1016516.33
2000Q4,1002428.97
2000Q3,992774.21
2000Q2,982092.81
2000Q1,969451.13
1999Q4,953933.79
1999Q3,941680.34
1999Q2,930456.15
1999Q1,919497.54
1998Q4,912287.64
1998Q3,897836.71
1998Q2,884782.73
1998Q1,876050.71
1997Q4,875968.18
1997Q3,861619.11
1997Q2,855058.51
1997Q1,851097.39
1996Q4,850979.67
1996Q3,850897.83
1996Q2,843610.07
1996Q1,834723.94
1995Q4,821192.93
1995Q3,813635.28
1995Q2,803428.79
1995Q1,791186.91
