Data Source in SDW: null
,MNA.Q.Y.I8.W1.S1.S1.D.P6._Z._Z._Z.EUR.V.N
,"Exports of goods and services - Euro area 19 (fixed composition) - Rest of the World, Total economy, Euro, Current prices, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2020Q3,1299889.40
2020Q2,1106827.33
2020Q1,1388669.91
2019Q4,1449552.10
2019Q3,1448252.14
2019Q2,1438506.51
2019Q1,1434216.46
2018Q4,1419525.69
2018Q3,1406441.14
2018Q2,1390668.09
2018Q1,1372554.37
2017Q4,1367836.48
2017Q3,1331113.95
2017Q2,1319226.72
2017Q1,1299873.42
2016Q4,1261316.65
2016Q3,1237895.34
2016Q2,1222861.89
2016Q1,1206359.17
2015Q4,1216856.72
2015Q3,1216946.15
2015Q2,1217188.58
2015Q1,1198636.11
2014Q4,1161024.21
2014Q3,1147035.00
2014Q2,1124500.30
2014Q1,1112152.55
2013Q4,1105550.91
2013Q3,1097026.57
2013Q2,1086816.80
2013Q1,1080829.31
2012Q4,1084000.86
2012Q3,1087966.28
2012Q2,1072279.95
2012Q1,1062236.67
2011Q4,1040386.66
2011Q3,1037434.58
2011Q2,1025902.64
2011Q1,1012702.83
2010Q4,977304.36
2010Q3,951600.48
2010Q2,926877.09
2010Q1,868725.30
2009Q4,839678.47
2009Q3,816239.18
2009Q2,795545.86
2009Q1,807614.80
2008Q4,907633.99
2008Q3,982541.04
2008Q2,982235.47
2008Q1,979426.24
2007Q4,955006.70
2007Q3,944329.44
2007Q2,927105.64
2007Q1,904958.10
2006Q4,893916.58
2006Q3,862948.24
2006Q2,848955.23
2006Q1,825186.59
2005Q4,801950.00
2005Q3,780216.36
2005Q2,756038.00
2005Q1,739966.49
2004Q4,732952.07
2004Q3,719844.21
2004Q2,714466.77
2004Q1,686543.53
2003Q4,672702.24
2003Q3,656725.52
2003Q2,646798.98
2003Q1,654598.64
2002Q4,662865.28
2002Q3,659529.87
2002Q2,655983.27
2002Q1,646946.08
2001Q4,639735.99
2001Q3,643815.54
2001Q2,648750.12
2001Q1,650954.42
2000Q4,655849.53
2000Q3,625208.54
2000Q2,603722.32
2000Q1,578588.16
1999Q4,549894.34
1999Q3,528228.87
1999Q2,509493.76
1999Q1,492831.88
1998Q4,489700.04
1998Q3,494734.92
1998Q2,496227.80
1998Q1,491457.30
1997Q4,484675.11
1997Q3,475012.69
1997Q2,457531.54
1997Q1,442052.53
1996Q4,431749.38
1996Q3,419472.10
1996Q2,413247.62
1996Q1,411996.70
1995Q4,404943.68
1995Q3,395758.20
1995Q2,396020.40
1995Q1,389375.50
