Data Source in SDW: null
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Current prices, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2020Q3,2897448.94
2020Q2,2598683.79
2020Q1,2918164.49
2019Q4,3015271.86
2019Q3,2995578.60
2019Q2,2976275.41
2019Q1,2958722.94
2018Q4,2933782.88
2018Q3,2903363.26
2018Q2,2890438.84
2018Q1,2868109.53
2017Q4,2854606.49
2017Q3,2819587.51
2017Q2,2790416.85
2017Q1,2758895.08
2016Q4,2732504.86
2016Q3,2707514.89
2016Q2,2688806.49
2016Q1,2679086.11
2015Q4,2656661.36
2015Q3,2640368.93
2015Q2,2619422.05
2015Q1,2598842.70
2014Q4,2567390.48
2014Q3,2548807.30
2014Q2,2532764.01
2014Q1,2524750.40
2013Q4,2501177.47
2013Q3,2493253.37
2013Q2,2481688.17
2013Q1,2461802.01
2012Q4,2459515.46
2012Q3,2462068.61
2012Q2,2456502.64
2012Q1,2456998.25
2011Q4,2453780.91
2011Q3,2454949.18
2011Q2,2443978.64
2011Q1,2437771.91
2010Q4,2412581.76
2010Q3,2392606.16
2010Q2,2371511.49
2010Q1,2346519.55
2009Q4,2333100.83
2009Q3,2317079.99
2009Q2,2307372.53
2009Q1,2312387.41
2008Q4,2376825.28
2008Q3,2410381.16
2008Q2,2417146.19
2008Q1,2410920.07
2007Q4,2390707.25
2007Q3,2358203.81
2007Q2,2335511.21
2007Q1,2308416.56
2006Q4,2275023.24
2006Q3,2236580.90
2006Q2,2211712.89
2006Q1,2174940.78
2005Q4,2149511.12
2005Q3,2120249.31
2005Q2,2096158.70
2005Q1,2074583.18
2004Q4,2061175.25
2004Q3,2042904.29
2004Q2,2031339.77
2004Q1,2006764.21
2003Q4,1985656.37
2003Q3,1968063.83
2003Q2,1943590.29
2003Q1,1929987.29
2002Q4,1923834.19
2002Q3,1913549.11
2002Q2,1891467.43
2002Q1,1876410.88
2001Q4,1862282.47
2001Q3,1845458.14
2001Q2,1830215.79
2001Q1,1817911.61
2000Q4,1786844.74
2000Q3,1765798.93
2000Q2,1747203.84
2000Q1,1725366.83
1999Q4,1699194.69
1999Q3,1674549.34
1999Q2,1651984.57
1999Q1,1638925.51
1998Q4,1619189.99
1998Q3,1602270.21
1998Q2,1586249.18
1998Q1,1570648.32
1997Q4,1562785.94
1997Q3,1538566.91
1997Q2,1523690.39
1997Q1,1509140.27
1996Q4,1510970.89
1996Q3,1508183.22
1996Q2,1493861.99
1996Q1,1474737.40
1995Q4,1462132.51
1995Q3,1447708.43
1995Q2,1424954.33
1995Q1,1407274.30
