Data Source in SDW: null
,MNA.Q.Y.I8.W0.S13.S1.D.P3._Z._Z._T.EUR.V.N
,"Final consumption expenditure - Euro area 19 (fixed composition) - World (all entities, including reference area, including IO), General government, Euro, Current prices, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2020Q3,639710.64
2020Q2,627224.18
2020Q1,625707.47
2019Q4,621655.43
2019Q3,616998.44
2019Q2,610423.34
2019Q1,605635.40
2018Q4,599385.82
2018Q3,593988.91
2018Q2,591151.17
2018Q1,584978.68
2017Q4,582791.15
2017Q3,576999.26
2017Q2,573262.48
2017Q1,568912.59
2016Q4,564801.50
2016Q3,561850.81
2016Q2,558916.93
2016Q1,555343.58
2015Q4,551954.69
2015Q3,548323.68
2015Q2,545273.29
2015Q1,542268.38
2014Q4,540416.48
2014Q3,538580.84
2014Q2,535819.31
2014Q1,533745.26
2013Q4,530577.78
2013Q3,529572.38
2013Q2,526889.20
2013Q1,525644.93
2012Q4,519468.29
2012Q3,521864.04
2012Q2,521720.13
2012Q1,520687.90
2011Q4,519752.79
2011Q3,519019.41
2011Q2,517867.27
2011Q1,515767.96
2010Q4,515277.99
2010Q3,514740.75
2010Q2,512567.67
2010Q1,512378.18
2009Q4,509383.70
2009Q3,509359.60
2009Q2,503604.99
2009Q1,500113.93
2008Q4,492600.60
2008Q3,486553.07
2008Q2,483731.83
2008Q1,474727.11
2007Q4,471655.50
2007Q3,461497.11
2007Q2,456688.04
2007Q1,452460.91
2006Q4,448406.72
2006Q3,444561.78
2006Q2,440944.33
2006Q1,436982.25
2005Q4,432356.87
2005Q3,425672.82
2005Q2,421598.76
2005Q1,416430.33
2004Q4,412037.05
2004Q3,408993.88
2004Q2,407029.00
2004Q1,400846.68
2003Q4,398198.95
2003Q3,399012.59
2003Q2,389701.09
2003Q1,386048.76
2002Q4,383556.66
2002Q3,379865.52
2002Q2,374325.51
2002Q1,369612.09
2001Q4,367042.37
2001Q3,358785.36
2001Q2,354758.99
2001Q1,350796.64
2000Q4,345658.84
2000Q3,341805.86
2000Q2,337856.59
2000Q1,335971.45
1999Q4,330233.47
1999Q3,327201.69
1999Q2,323494.17
1999Q1,321356.15
1998Q4,315643.65
1998Q3,311744.74
1998Q2,309511.77
1998Q1,306796.16
1997Q4,303746.19
1997Q3,303417.11
1997Q2,303708.75
1997Q1,303194.25
1996Q4,303210.14
1996Q3,302580.76
1996Q2,299611.17
1996Q1,295483.94
1995Q4,293290.95
1995Q3,289455.54
1995Q2,284169.41
1995Q1,279897.19
