Data Source in SDW: null
,MNA.Q.Y.I8.W1.S1.S1.C.P7._Z._Z._Z.EUR.V.N
,"Imports of goods and services - Euro area 19 (fixed composition) - Rest of the World, Total economy, Euro, Current prices, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2020Q3,1162508.35
2020Q2,1026318.89
2020Q1,1295583.33
2019Q4,1341822.98
2019Q3,1314035.01
2019Q2,1352923.71
2019Q1,1307762.56
2018Q4,1320747.12
2018Q3,1291498.26
2018Q2,1261754.62
2018Q1,1238667.13
2017Q4,1226964.54
2017Q3,1196657.56
2017Q2,1226195.74
2017Q1,1178964.52
2016Q4,1151199.73
2016Q3,1117922.20
2016Q2,1101841.38
2016Q1,1083963.77
2015Q4,1100201.94
2015Q3,1091480.51
2015Q2,1120077.25
2015Q1,1068828.61
2014Q4,1050460.12
2014Q3,1048162.01
2014Q2,1030517.71
2014Q1,1020680.99
2013Q4,1015698.19
2013Q3,1011310.94
2013Q2,996128.49
2013Q1,994419.02
2012Q4,999576.60
2012Q3,1007447.55
2012Q2,1004392.03
2012Q1,1005196.28
2011Q4,988754.40
2011Q3,995105.69
2011Q2,992023.56
2011Q1,982383.56
2010Q4,939035.69
2010Q3,913190.05
2010Q2,895069.29
2010Q1,832329.39
2009Q4,793686.58
2009Q3,774360.83
2009Q2,753044.02
2009Q1,781214.34
2008Q4,881570.34
2008Q3,962171.13
2008Q2,950854.06
2008Q1,943183.10
2007Q4,927498.86
2007Q3,905764.08
2007Q2,883771.51
2007Q1,865646.00
2006Q4,854617.88
2006Q3,833084.23
2006Q2,821667.61
2006Q1,802893.24
2005Q4,774638.19
2005Q3,747979.06
2005Q2,721031.49
2005Q1,696144.88
2004Q4,694037.13
2004Q3,680118.16
2004Q2,664505.39
2004Q1,636367.69
2003Q4,628253.01
2003Q3,612021.87
2003Q2,609640.56
2003Q1,621663.95
2002Q4,616860.79
2002Q3,607189.73
2002Q2,609183.88
2002Q1,601335.06
2001Q4,601095.76
2001Q3,617119.44
2001Q2,628139.96
2001Q1,625368.18
2000Q4,646298.04
2000Q3,615060.46
2000Q2,588321.33
2000Q1,560283.87
1999Q4,529218.29
1999Q3,507037.11
1999Q2,486685.75
1999Q1,470648.62
1998Q4,465155.31
1998Q3,463822.41
1998Q2,462425.50
1998Q1,460760.13
1997Q4,448867.96
1997Q3,439588.90
1997Q2,425068.23
1997Q1,414357.18
1996Q4,403471.03
1996Q3,391351.36
1996Q2,388833.42
1996Q1,388545.85
1995Q4,383275.98
1995Q3,377772.18
1995Q2,375393.05
1995Q1,367246.95
