Data Source in SDW: null
,ENA.Q.Y.I8.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N
,"Total employment - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Total - All activities, Persons, Not applicable, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
2020Q3,157386.53
2020Q2,155811.68
2020Q1,160550.81
2019Q4,161002.56
2019Q3,160728.69
2019Q2,160612.86
2019Q1,159979.43
2018Q4,159368.56
2018Q3,158976.26
2018Q2,158597.45
2018Q1,157749.63
2017Q4,157126.59
2017Q3,156627.02
2017Q2,155977.25
2017Q1,155269.40
2016Q4,154636.63
2016Q3,154124.31
2016Q2,153647.54
2016Q1,152923.66
2015Q4,152470.51
2015Q3,151985.26
2015Q2,151415.02
2015Q1,150911.40
2014Q4,150789.26
2014Q3,150556.55
2014Q2,150152.50
2014Q1,149701.55
2013Q4,149429.27
2013Q3,149198.12
2013Q2,149058.44
2013Q1,149147.47
2012Q4,149478.44
2012Q3,149858.12
2012Q2,150153.14
2012Q1,150239.46
2011Q4,150287.34
2011Q3,150462.57
2011Q2,150660.02
2011Q1,150492.57
2010Q4,150457.90
2010Q3,150155.68
2010Q2,150054.14
2010Q1,150169.49
2009Q4,150278.53
2009Q3,150574.15
2009Q2,151135.13
2009Q1,152156.23
2008Q4,153383.57
2008Q3,153950.63
2008Q2,154176.42
2008Q1,154198.44
2007Q4,153532.13
2007Q3,153000.82
2007Q2,152381.69
2007Q1,151585.35
2006Q4,150873.66
2006Q3,150159.01
2006Q2,149526.86
2006Q1,148684.22
2005Q4,148074.12
2005Q3,147378.75
2005Q2,147000.27
2005Q1,146556.22
2004Q4,146349.36
2004Q3,145953.83
2004Q2,145611.69
2004Q1,145254.28
2003Q4,145067.43
2003Q3,144765.76
2003Q2,144609.20
2003Q1,144348.01
2002Q4,144260.27
2002Q3,144228.14
2002Q2,144030.96
2002Q1,143854.54
2001Q4,143393.13
2001Q3,143095.97
2001Q2,142815.14
2001Q1,142675.70
2000Q4,142329.36
2000Q3,141712.26
2000Q2,141001.64
2000Q1,140166.91
1999Q4,139178.79
1999Q3,138558.63
1999Q2,137766.22
1999Q1,137203.20
1998Q4,136573.03
1998Q3,135980.97
1998Q2,135197.08
1998Q1,134540.66
1997Q4,133745.30
1997Q3,133311.68
1997Q2,132889.87
1997Q1,132536.71
1996Q4,132206.37
1996Q3,132024.20
1996Q2,131685.90
1996Q1,131379.60
1995Q4,131348.38
1995Q3,131031.83
1995Q2,130894.77
1995Q1,130681.35
